sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2019,5,249,0,2019-05-01 00:00:00
AC,2019,5,399,98589827.64,2019-05-01 00:00:00
AC,2019,5,409,7619939.85,2019-05-01 00:00:00
AC,2019,5,419,283507.01,2019-05-01 00:00:00
AC,2019,5,429,1000151.67,2019-05-01 00:00:00
AC,2019,5,439,0,2019-05-01 00:00:00
AC,2019,5,499,8903598.53,2019-05-01 00:00:00
AC,2019,5,999,107493426.17,2019-05-01 00:00:00
AC,2019,6,119,99762.68,2019-06-01 00:00:00
AC,2019,6,129,11648769.5,2019-06-01 00:00:00
AC,2019,6,131,17472603.46,2019-06-01 00:00:00
AC,2019,6,132,18811598.07,2019-06-01 00:00:00
AC,2019,6,133,347281.1,2019-06-01 00:00:00
AC,2019,6,134,6165181.64,2019-06-01 00:00:00
AC,2019,6,135,6297120.11,2019-06-01 00:00:00
AC,2019,6,139,49093784.38,2019-06-01 00:00:00
AC,2019,6,211,0,2019-06-01 00:00:00
AC,2019,6,212,14027773.07,2019-06-01 00:00:00
AC,2019,6,219,14027773.07,2019-06-01 00:00:00
AC,2019,6,221,17499481.77,2019-06-01 00:00:00
AC,2019,6,222,5224445.63,2019-06-01 00:00:00
AC,2019,6,229,22723927.4,2019-06-01 00:00:00
AC,2019,6,239,3361358.2,2019-06-01 00:00:00
AC,2019,6,249,0,2019-06-01 00:00:00
AC,2019,6,399,100955375.23,2019-06-01 00:00:00
AC,2019,6,409,5756360.97,2019-06-01 00:00:00
AC,2019,6,419,268429.95,2019-06-01 00:00:00
AC,2019,6,429,787031.64,2019-06-01 00:00:00
AC,2019,6,439,0,2019-06-01 00:00:00
AC,2019,6,499,6811822.56,2019-06-01 00:00:00
AC,2019,6,999,107767197.79,2019-06-01 00:00:00
